pair,total_ibd_mb,sample_a,sample_b
"('NA19445_NA19445', 'NA19453_NA19453')",2555.096356,NA19445_NA19445,NA19453_NA19453
"('NA19381_NA19381', 'NA19382_NA19382')",2509.31019,NA19381_NA19381,NA19382_NA19382
"('NA19313_NA19313', 'NA19331_NA19331')",2273.427412,NA19313_NA19313,NA19331_NA19331
"('NA19469_NA19469', 'NA19470_NA19470')",2253.092594,NA19469_NA19469,NA19470_NA19470
"('NA19443_NA19443', 'NA19470_NA19470')",1937.336276,NA19443_NA19443,NA19470_NA19470
"('NA19396_NA19396', 'NA19397_NA19397')",1911.597297,NA19396_NA19396,NA19397_NA19397
"('NA19347_NA19347', 'NA19352_NA19352')",1868.563848,NA19347_NA19347,NA19352_NA19352
"('NA19331_NA19331', 'NA19334_NA19334')",1812.840238,NA19331_NA19331,NA19334_NA19334
"('NA19373_NA19373', 'NA19374_NA19374')",1782.175376,NA19373_NA19373,NA19374_NA19374
"('NA19434_NA19434', 'NA19444_NA19444')",1743.28085,NA19434_NA19434,NA19444_NA19444
"('NA19380_NA19380', 'NA19382_NA19382')",1440.432068,NA19380_NA19380,NA19382_NA19382
"('NA19444_NA19444', 'NA19453_NA19453')",1247.960614,NA19444_NA19444,NA19453_NA19453
"('NA19313_NA19313', 'NA19334_NA19334')",960.523504,NA19313_NA19313,NA19334_NA19334
"('NA19434_NA19434', 'NA19453_NA19453')",937.4079389999999,NA19434_NA19434,NA19453_NA19453
"('NA19380_NA19380', 'NA19381_NA19381')",874.688312,NA19380_NA19380,NA19381_NA19381
"('NA19443_NA19443', 'NA19469_NA19469')",861.398964,NA19443_NA19443,NA19469_NA19469
"('NA19309_NA19309', 'NA19359_NA19359')",718.700835,NA19309_NA19309,NA19359_NA19359
"('NA19355_NA19355', 'NA19444_NA19444')",620.785116,NA19355_NA19355,NA19444_NA19444
"('NA19307_NA19307', 'NA19312_NA19312')",599.410477,NA19307_NA19307,NA19312_NA19312
"('NA19451_NA19451', 'NA19452_NA19452')",516.960867,NA19451_NA19451,NA19452_NA19452
"('NA19346_NA19346', 'NA19395_NA19395')",500.164493,NA19346_NA19346,NA19395_NA19395
"('NA19355_NA19355', 'NA19434_NA19434')",477.854253,NA19355_NA19355,NA19434_NA19434
"('NA19046_NA19046', 'NA19375_NA19375')",402.515844,NA19046_NA19046,NA19375_NA19375
"('NA19317_NA19317', 'NA19376_NA19376')",393.249824,NA19317_NA19317,NA19376_NA19376
"('NA19347_NA19347', 'NA19376_NA19376')",390.854832,NA19347_NA19347,NA19376_NA19376
"('NA19375_NA19375', 'NA19376_NA19376')",377.421958,NA19375_NA19375,NA19376_NA19376
"('NA19046_NA19046', 'NA19396_NA19396')",364.612097,NA19046_NA19046,NA19396_NA19396
"('NA19350_NA19350', 'NA19397_NA19397')",342.783971,NA19350_NA19350,NA19397_NA19397
"('NA19428_NA19428', 'NA19461_NA19461')",336.73062400000003,NA19428_NA19428,NA19461_NA19461
"('NA19028_NA19028', 'NA19385_NA19385')",326.631519,NA19028_NA19028,NA19385_NA19385
"('NA19376_NA19376', 'NA19397_NA19397')",301.686865,NA19376_NA19376,NA19397_NA19397
"('NA19318_NA19318', 'NA19376_NA19376')",299.265305,NA19318_NA19318,NA19376_NA19376
"('NA19375_NA19375', 'NA19397_NA19397')",295.952971,NA19375_NA19375,NA19397_NA19397
"('NA19046_NA19046', 'NA19376_NA19376')",290.478724,NA19046_NA19046,NA19376_NA19376
"('NA19352_NA19352', 'NA19376_NA19376')",290.307655,NA19352_NA19352,NA19376_NA19376
"('NA19376_NA19376', 'NA19396_NA19396')",279.365187,NA19376_NA19376,NA19396_NA19396
"('NA19044_NA19044', 'NA19380_NA19380')",270.480218,NA19044_NA19044,NA19380_NA19380
"('NA19360_NA19360', 'NA19434_NA19434')",264.870676,NA19360_NA19360,NA19434_NA19434
"('NA19044_NA19044', 'NA19376_NA19376')",263.637287,NA19044_NA19044,NA19376_NA19376
"('NA19350_NA19350', 'NA19396_NA19396')",261.457839,NA19350_NA19350,NA19396_NA19396
"('NA19375_NA19375', 'NA19436_NA19436')",257.021193,NA19375_NA19375,NA19436_NA19436
"('NA19430_NA19430', 'NA19451_NA19451')",246.63216799999998,NA19430_NA19430,NA19451_NA19451
"('NA19046_NA19046', 'NA19397_NA19397')",244.97799500000002,NA19046_NA19046,NA19397_NA19397
"('NA19311_NA19311', 'NA19350_NA19350')",235.374435,NA19311_NA19311,NA19350_NA19350
"('NA19318_NA19318', 'NA19359_NA19359')",226.715088,NA19318_NA19318,NA19359_NA19359
"('NA19350_NA19350', 'NA19375_NA19375')",224.306555,NA19350_NA19350,NA19375_NA19375
"('NA19379_NA19379', 'NA19382_NA19382')",221.735414,NA19379_NA19379,NA19382_NA19382
"('NA19046_NA19046', 'NA19307_NA19307')",213.793375,NA19046_NA19046,NA19307_NA19307
"('NA19346_NA19346', 'NA19359_NA19359')",213.73873799999998,NA19346_NA19346,NA19359_NA19359
"('NA19375_NA19375', 'NA19396_NA19396')",206.492528,NA19375_NA19375,NA19396_NA19396
"('NA19307_NA19307', 'NA19316_NA19316')",199.670509,NA19307_NA19307,NA19316_NA19316
"('NA19317_NA19317', 'NA19352_NA19352')",198.132237,NA19317_NA19317,NA19352_NA19352
"('NA19318_NA19318', 'NA19352_NA19352')",193.34092,NA19318_NA19318,NA19352_NA19352
"('NA19307_NA19307', 'NA19321_NA19321')",191.178667,NA19307_NA19307,NA19321_NA19321
"('NA19318_NA19318', 'NA19471_NA19471')",185.29599599999997,NA19318_NA19318,NA19471_NA19471
"('NA19360_NA19360', 'NA19444_NA19444')",180.60091,NA19360_NA19360,NA19444_NA19444
