sample_a,sample_b,total_ibd_mb,pi_hat
NA19445_NA19445,NA19453_NA19453,2555.096356,0.79846761125
NA19381_NA19381,NA19382_NA19382,2509.31019,0.784159434375
NA19313_NA19313,NA19331_NA19331,2273.427412,0.71044606625
NA19469_NA19469,NA19470_NA19470,2253.092594,0.7040914356250001
NA19443_NA19443,NA19470_NA19470,1937.336276,0.60541758625
NA19396_NA19396,NA19397_NA19397,1911.597297,0.5973741553125
NA19347_NA19347,NA19352_NA19352,1868.563848,0.5839262025
NA19331_NA19331,NA19334_NA19334,1812.840238,0.566512574375
NA19373_NA19373,NA19374_NA19374,1782.175376,0.556929805
NA19434_NA19434,NA19444_NA19444,1743.28085,0.544775265625
NA19380_NA19380,NA19382_NA19382,1440.432068,0.45013502125000004
NA19444_NA19444,NA19453_NA19453,1247.960614,0.38998769187500004
NA19313_NA19313,NA19334_NA19334,960.523504,0.300163595
NA19434_NA19434,NA19453_NA19453,937.4079389999999,0.29293998093749996
NA19380_NA19380,NA19381_NA19381,874.688312,0.2733400975
NA19443_NA19443,NA19469_NA19469,861.398964,0.26918717625
NA19309_NA19309,NA19359_NA19359,718.700835,0.2245940109375
NA19355_NA19355,NA19444_NA19444,620.785116,0.19399534875000002
NA19307_NA19307,NA19312_NA19312,599.410477,0.1873157740625
NA19451_NA19451,NA19452_NA19452,516.960867,0.1615502709375
NA19346_NA19346,NA19395_NA19395,500.164493,0.1563014040625
NA19355_NA19355,NA19434_NA19434,477.854253,0.1493294540625
NA19046_NA19046,NA19375_NA19375,402.515844,0.12578620125
NA19317_NA19317,NA19376_NA19376,393.249824,0.12289056999999999
NA19347_NA19347,NA19376_NA19376,390.854832,0.122142135
NA19375_NA19375,NA19376_NA19376,377.421958,0.117944361875
NA19046_NA19046,NA19396_NA19396,364.612097,0.1139412803125
NA19350_NA19350,NA19397_NA19397,342.783971,0.1071199909375
NA19428_NA19428,NA19461_NA19461,336.73062400000003,0.10522832000000001
NA19028_NA19028,NA19385_NA19385,326.631519,0.10207234968750001
NA19376_NA19376,NA19397_NA19397,301.686865,0.0942771453125
NA19318_NA19318,NA19376_NA19376,299.265305,0.0935204078125
NA19375_NA19375,NA19397_NA19397,295.952971,0.0924853034375
NA19046_NA19046,NA19376_NA19376,290.478724,0.09077460125
NA19352_NA19352,NA19376_NA19376,290.307655,0.0907211421875
NA19376_NA19376,NA19396_NA19396,279.365187,0.08730162093749999
NA19044_NA19044,NA19380_NA19380,270.480218,0.08452506812499999
NA19360_NA19360,NA19434_NA19434,264.870676,0.08277208625
NA19044_NA19044,NA19376_NA19376,263.637287,0.0823866521875
NA19350_NA19350,NA19396_NA19396,261.457839,0.08170557468749999
NA19375_NA19375,NA19436_NA19436,257.021193,0.08031912281249999
NA19430_NA19430,NA19451_NA19451,246.63216799999998,0.07707255249999999
NA19046_NA19046,NA19397_NA19397,244.97799500000002,0.07655562343750001
NA19311_NA19311,NA19350_NA19350,235.374435,0.0735545109375
NA19318_NA19318,NA19359_NA19359,226.715088,0.070848465
NA19350_NA19350,NA19375_NA19375,224.306555,0.0700957984375
NA19379_NA19379,NA19382_NA19382,221.735414,0.069292316875
NA19046_NA19046,NA19307_NA19307,213.793375,0.0668104296875
NA19346_NA19346,NA19359_NA19359,213.73873799999998,0.066793355625
NA19375_NA19375,NA19396_NA19396,206.492528,0.06452891499999999
NA19307_NA19307,NA19316_NA19316,199.670509,0.0623970340625
NA19317_NA19317,NA19352_NA19352,198.132237,0.0619163240625
NA19318_NA19318,NA19352_NA19352,193.34092,0.0604190375
NA19307_NA19307,NA19321_NA19321,191.178667,0.0597433334375
NA19318_NA19318,NA19471_NA19471,185.29599599999997,0.05790499874999999
