ID1,ID2,PLINK_PIHAT,GERMLINE_IBD,BEAGLE_PIHAT
NA19020,NA19028,0.0419,0.008864396176470588,0.008744088125
NA19020,NA19035,0.04,0.007399397647058824,0.0108675265625
NA19020,NA19036,0.0435,0.002511786764705882,0.007208578125
NA19020,NA19038,0.0401,0.009139443235294116,0.005071291249999999
NA19020,NA19041,0.0401,0.007771659705882353,0.0042595696875
NA19020,NA19044,0.0383,0.010988603529411764,0.007527156562499999
NA19020,NA19046,0.0518,0.009023334117647058,0.010582035937500001
NA19020,NA19307,0.0514,0.010358753235294118,0.006307375937499999
NA19020,NA19308,0.048,0.009021628235294118,0.011145855625000001
NA19020,NA19309,0.0484,0.007720530588235294,0.0040110128125
NA19020,NA19310,0.0439,0.007567519411764706,0.00818955875
NA19020,NA19311,0.0366,0.007862196176470588,0.004538814375
NA19020,NA19312,0.0439,0.01041822,0.008534078125
NA19020,NA19313,0.0428,0.007711894411764706,0.0043393865625
NA19020,NA19315,0.0404,0.0,0.0065727468749999995
NA19020,NA19316,0.0409,0.008547736764705882,0.0037993696875
NA19020,NA19317,0.0392,0.010329085588235294,0.005533235
NA19020,NA19318,0.0405,0.0008843758823529411,0.006596769687499999
NA19020,NA19319,0.0446,0.009123567941176471,0.00628688375
NA19020,NA19321,0.0418,0.007870832352941176,0.0050470440625000005
NA19020,NA19324,0.0413,0.007862196176470588,0.003176623125
NA19020,NA19327,0.0401,0.009864670882352941,0.00622428625
NA19020,NA19328,0.0499,0.009402167058823529,0.005038403125
NA19020,NA19331,0.0518,0.0077665405882352935,0.0066539599999999996
NA19020,NA19332,0.0429,0.01000511382352941,0.0033809953125
NA19020,NA19334,0.0433,0.0077665405882352935,0.00352620875
NA19020,NA19338,0.0483,0.007841118235294117,0.0078774684375
NA19020,NA19346,0.0422,0.008777794705882353,0.0077164387499999995
NA19020,NA19347,0.0398,0.0077665405882352935,0.005651238750000001
NA19020,NA19350,0.0452,0.009031633529411763,0.008022765000000001
NA19020,NA19351,0.0469,0.010940079117647057,0.009389025
NA19020,NA19352,0.0475,0.008914203529411763,0.005417676875
NA19020,NA19355,0.0419,0.0074172176470588234,0.009540033125
NA19020,NA19359,0.0387,0.008997777647058823,0.00955386625
NA19020,NA19360,0.0391,0.009668516470588235,0.0025931659375
NA19020,NA19371,0.0408,0.007408033823529412,0.00676681125
NA19020,NA19372,0.0415,0.00874537,0.002218593125
NA19020,NA19373,0.044,0.0017886073529411765,0.0025219853125
NA19020,NA19374,0.0424,0.008952480882352941,0.0023546346875
NA19020,NA19375,0.0417,0.011055464411764705,0.00481251125
NA19020,NA19376,0.0462,0.0,0.009760538125
NA19020,NA19377,0.043,0.007711894411764706,0.009102467187500001
NA19020,NA19379,0.0417,0.007914740882352942,0.0045151721875
NA19020,NA19380,0.0386,0.009362532352941176,0.0070310871875
NA19020,NA19381,0.0371,0.007862196176470588,0.01169822375
NA19020,NA19382,0.0385,0.009875502647058824,0.005061139687500001
NA19020,NA19383,0.04,0.008722385294117648,0.0040319628125000005
NA19020,NA19384,0.0472,0.009956071764705882,0.008642224375
NA19020,NA19385,0.0341,0.0009135241176470588,0.0027633996875
NA19020,NA19390,0.0426,0.007378319705882353,0.006971291875
NA19020,NA19391,0.048,0.007862196176470588,0.005590699062499999
NA19020,NA19393,0.0429,0.010778263235294119,0.0091942603125
NA19020,NA19394,0.051,0.007781072058823529,0.0055923621875
NA19020,NA19395,0.0451,0.008917053529411764,0.00525834875
NA19020,NA19396,0.0452,0.00874537,0.0126166140625
