pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19347', 'NA19352')",1285.56725,NA19347,NA19352,0.401739765625
"('NA19373', 'NA19374')",1235.026486,NA19373,NA19374,0.385945776875
"('NA19443', 'NA19470')",1180.940241,NA19443,NA19470,0.3690438253125
"('NA19396', 'NA19397')",1161.640973,NA19396,NA19397,0.3630128040625
"('NA19434', 'NA19444')",1108.146127,NA19434,NA19444,0.3462956646875
"('NA19331', 'NA19334')",1098.03866,NA19331,NA19334,0.34313708125
"('NA19445', 'NA19453')",904.122836,NA19445,NA19453,0.28253838625
"('NA19313', 'NA19331')",867.492762,NA19313,NA19331,0.271091488125
"('NA19469', 'NA19470')",825.997004,NA19469,NA19470,0.25812406374999997
"('NA19381', 'NA19382')",807.536407,NA19381,NA19382,0.25235512718750003
"('NA19444', 'NA19453')",558.157982,NA19444,NA19453,0.17442436937499997
"('NA19380', 'NA19382')",553.557966,NA19380,NA19382,0.172986864375
"('NA19313', 'NA19334')",531.526181,NA19313,NA19334,0.16610193156249997
"('NA19434', 'NA19453')",478.535032,NA19434,NA19453,0.1495421975
"('NA19380', 'NA19381')",421.433111,NA19380,NA19381,0.1316978471875
"('NA19443', 'NA19469')",397.468757,NA19443,NA19469,0.1242089865625
"('NA19307', 'NA19312')",310.457336,NA19307,NA19312,0.0970179175
"('NA19346', 'NA19395')",306.919569,NA19346,NA19395,0.09591236531250001
"('NA19046', 'NA19396')",306.005945,NA19046,NA19396,0.0956268578125
"('NA19309', 'NA19359')",297.98791,NA19309,NA19359,0.093121221875
"('NA19046', 'NA19375')",290.050978,NA19046,NA19375,0.09064093062499999
"('NA19355', 'NA19444')",286.17837,NA19355,NA19444,0.08943074062499999
"('NA19046', 'NA19397')",262.014571,NA19046,NA19397,0.0818795534375
"('NA19428', 'NA19461')",258.76667299999997,NA19428,NA19461,0.08086458531249999
"('NA19350', 'NA19375')",258.572084,NA19350,NA19375,0.08080377625
"('NA19375', 'NA19397')",256.66221,NA19375,NA19397,0.080206940625
"('NA19451', 'NA19452')",251.90820599999998,NA19451,NA19452,0.07872131437499999
"('NA19350', 'NA19397')",250.846393,NA19350,NA19397,0.0783894978125
"('NA19375', 'NA19376')",247.637172,NA19375,NA19376,0.07738661625
"('NA19355', 'NA19434')",245.940991,NA19355,NA19434,0.07685655968749999
"('NA19398', 'NA19449')",242.313909,NA19398,NA19449,0.0757230965625
"('NA19360', 'NA19434')",240.27911600000002,NA19360,NA19434,0.07508722375
"('NA19347', 'NA19376')",237.570574,NA19347,NA19376,0.074240804375
"('NA19044', 'NA19376')",228.141973,NA19044,NA19376,0.0712943665625
"('NA19028', 'NA19385')",227.553548,NA19028,NA19385,0.07111048375000001
