sample_a,sample_b,total_ibd_mb,pi_hat
NA19396,NA19397,181.606083,0.0567519009375
NA19331,NA19334,169.750051,0.05304689093750001
NA19373,NA19374,141.540393,0.044231372812499996
NA19347,NA19352,127.264625,0.0397701953125
NA19443,NA19470,115.719632,0.036162385
NA19434,NA19453,97.82235,0.030569484375
NA19445,NA19453,96.45041,0.030140753125000003
NA19469,NA19470,90.505932,0.02828310375
NA19434,NA19444,90.469779,0.028271805937500002
NA19313,NA19331,88.169969,0.027553115312499998
NA19381,NA19382,83.497108,0.02609284625
NA19313,NA19334,78.973612,0.02467925375
NA19355,NA19434,72.430127,0.0226344146875
NA19312,NA19393,71.243867,0.022263708437499998
NA19346,NA19395,65.197932,0.020374353749999997
NA19380,NA19381,63.124207,0.0197263146875
NA19376,NA19397,55.692141,0.0174037940625
NA19376,NA19396,54.517019,0.0170365684375
NA19380,NA19382,54.217158,0.016942861875
NA19443,NA19469,51.5827,0.01611959375
NA19046,NA19375,50.867808,0.015896189999999998
NA19375,NA19396,50.303159,0.0157197371875
NA19046,NA19397,49.060325,0.0153313515625
NA19044,NA19380,48.263432,0.0150823225
NA19355,NA19444,47.650472,0.0148907725
NA19466,NA19467,46.503293,0.0145322790625
NA19307,NA19316,46.503137,0.0145322303125
NA19312,NA19338,45.436161,0.014198800312499999
NA19307,NA19463,45.120789,0.0141002465625
NA19375,NA19397,44.568144,0.013927545
NA19316,NA19355,44.543815,0.013919942187500001
NA19428,NA19439,44.169077,0.0138028365625
NA19466,NA19472,43.838602,0.013699563125000001
NA19430,NA19452,43.693264,0.013654145
NA19449,NA19467,43.39837,0.013561990625
NA19359,NA19395,43.088942,0.013465294375
NA19444,NA19453,42.871715,0.0133974109375
NA19321,NA19331,42.798651,0.0133745784375
NA19307,NA19312,42.794253,0.0133732040625
NA19309,NA19359,42.21972,0.013193662500000002
NA19028,NA19041,42.158421,0.013174506562499999
NA19028,NA19350,42.127223,0.0131647571875
NA19038,NA19312,42.08468,0.013151462499999999
NA19391,NA19461,42.060458,0.013143893124999998
NA19041,NA19381,42.022825,0.013132132812499999
NA19310,NA19462,41.584954,0.012995298125
NA19316,NA19446,41.35068,0.012922087499999999
NA19449,NA19466,41.30323,0.012907259375
NA19316,NA19444,41.218431,0.0128807596875
NA19312,NA19381,41.160953,0.0128627978125
NA19338,NA19374,41.14242,0.01285700625
NA19376,NA19472,41.051205,0.0128285015625
NA19312,NA19468,41.032633,0.012822697812499999
NA19332,NA19457,40.945939,0.012795605937500001
NA19381,NA19445,40.846924,0.01276466375
NA19451,NA19463,40.718934,0.012724666874999999
NA19435,NA19440,40.617492,0.01269296625
NA19430,NA19462,40.517576,0.0126617425
NA19338,NA19448,40.467958,0.012646236875000001
NA19308,NA19398,40.33222,0.01260381875
NA19380,NA19457,40.312639,0.012597699687499998
NA19435,NA19437,40.268864,0.01258402
NA19457,NA19471,40.140588,0.01254393375
NA19324,NA19398,40.098881,0.0125309003125
NA19307,NA19321,40.096479,0.0125301496875
NA19430,NA19451,40.033781,0.012510556562499999
NA19396,NA19473,40.016206,0.012505064375
NA19338,NA19360,39.908455,0.0124713921875
NA19383,NA19393,39.777336,0.012430417499999999
NA19446,NA19467,39.744953,0.012420297812500002
NA19020,NA19451,39.53141,0.012353565625
NA19321,NA19435,39.389379,0.012309180937499999
NA19328,NA19393,39.381388,0.01230668375
NA19372,NA19397,39.345178,0.012295368125
NA19317,NA19351,39.325246,0.012289139375
NA19457,NA19461,39.285898,0.012276843125
NA19327,NA19328,39.280768,0.01227524
NA19310,NA19395,39.278054,0.012274391874999999
NA19443,NA19468,39.181568,0.01224424
NA19328,NA19435,39.159038,0.012237199375
NA19380,NA19434,39.071646,0.012209889375
NA19046,NA19453,39.034326,0.012198226875
NA19313,NA19338,39.0339,0.012198093750000001
NA19346,NA19393,38.987487,0.012183589687500001
NA19313,NA19359,38.943355,0.012169798437499999
NA19046,NA19311,38.935698,0.012167405625
NA19038,NA19041,38.802833,0.0121258853125
NA19331,NA19393,38.743977,0.0121074928125
NA19313,NA19380,38.721072,0.012100335
NA19338,NA19381,38.69571,0.012092409375
