IID1	IID2	PI_HAT	relationship
NA19020	NA19028	0.0419	unrelated
NA19020	NA19035	0.04	unrelated
NA19020	NA19036	0.0435	unrelated
NA19020	NA19038	0.0401	unrelated
NA19020	NA19041	0.0401	unrelated
NA19020	NA19044	0.0383	unrelated
NA19020	NA19046	0.0518	unrelated
NA19020	NA19307	0.0514	unrelated
NA19020	NA19308	0.048	unrelated
NA19020	NA19309	0.0484	unrelated
NA19020	NA19310	0.0439	unrelated
NA19020	NA19311	0.0366	unrelated
NA19020	NA19312	0.0439	unrelated
NA19020	NA19313	0.0428	unrelated
NA19020	NA19315	0.0404	unrelated
NA19020	NA19316	0.0409	unrelated
NA19020	NA19317	0.0392	unrelated
NA19020	NA19318	0.0405	unrelated
NA19020	NA19319	0.0446	unrelated
NA19020	NA19321	0.0418	unrelated
NA19020	NA19324	0.0413	unrelated
NA19020	NA19327	0.0401	unrelated
NA19020	NA19328	0.0499	unrelated
NA19020	NA19331	0.0518	unrelated
NA19020	NA19332	0.0429	unrelated
NA19020	NA19334	0.0433	unrelated
NA19020	NA19338	0.0483	unrelated
NA19020	NA19346	0.0422	unrelated
NA19020	NA19347	0.0398	unrelated
NA19020	NA19350	0.0452	unrelated
NA19020	NA19351	0.0469	unrelated
NA19020	NA19352	0.0475	unrelated
NA19020	NA19355	0.0419	unrelated
NA19020	NA19359	0.0387	unrelated
NA19020	NA19360	0.0391	unrelated
NA19020	NA19371	0.0408	unrelated
NA19020	NA19372	0.0415	unrelated
NA19020	NA19373	0.044	unrelated
NA19020	NA19374	0.0424	unrelated
NA19020	NA19375	0.0417	unrelated
NA19020	NA19376	0.0462	unrelated
NA19020	NA19377	0.043	unrelated
NA19020	NA19379	0.0417	unrelated
NA19020	NA19380	0.0386	unrelated
NA19020	NA19381	0.0371	unrelated
NA19020	NA19382	0.0385	unrelated
NA19020	NA19383	0.04	unrelated
NA19020	NA19384	0.0472	unrelated
NA19020	NA19385	0.0341	unrelated
NA19020	NA19390	0.0426	unrelated
NA19020	NA19391	0.048	unrelated
NA19020	NA19393	0.0429	unrelated
NA19020	NA19394	0.051	unrelated
NA19020	NA19395	0.0451	unrelated
NA19020	NA19396	0.0452	unrelated
NA19020	NA19397	0.0413	unrelated
NA19020	NA19398	0.0438	unrelated
NA19020	NA19399	0.0443	unrelated
NA19020	NA19401	0.0396	unrelated
NA19020	NA19403	0.0387	unrelated
NA19020	NA19404	0.0441	unrelated
NA19020	NA19428	0.0423	unrelated
NA19020	NA19429	0.0511	unrelated
NA19020	NA19430	0.0444	unrelated
NA19020	NA19431	0.0535	unrelated
NA19020	NA19434	0.0401	unrelated
NA19020	NA19435	0.0396	unrelated
NA19020	NA19436	0.0427	unrelated
NA19020	NA19437	0.0373	unrelated
NA19020	NA19438	0.0418	unrelated
NA19020	NA19439	0.0389	unrelated
NA19020	NA19440	0.0419	unrelated
NA19020	NA19443	0.0429	unrelated
NA19020	NA19444	0.0429	unrelated
NA19020	NA19445	0.0407	unrelated
NA19020	NA19446	0.0443	unrelated
NA19020	NA19448	0.0469	unrelated
NA19020	NA19449	0.041	unrelated
NA19020	NA19451	0.0427	unrelated
NA19020	NA19452	0.0417	unrelated
NA19020	NA19453	0.0401	unrelated
NA19020	NA19455	0.0434	unrelated
NA19020	NA19456	0.0414	unrelated
NA19020	NA19457	0.042	unrelated
NA19020	NA19461	0.0384	unrelated
NA19020	NA19462	0.0391	unrelated
NA19020	NA19463	0.0443	unrelated
NA19020	NA19466	0.0417	unrelated
NA19020	NA19467	0.0403	unrelated
NA19020	NA19468	0.0437	unrelated
NA19020	NA19469	0.0418	unrelated
NA19020	NA19470	0.0391	unrelated
NA19020	NA19471	0.0389	unrelated
NA19020	NA19472	0.0418	unrelated
NA19020	NA19473	0.0494	unrelated
NA19020	NA19474	0.0417	unrelated
NA19028	NA19035	0.0392	unrelated
NA19028	NA19036	0.0404	unrelated
NA19028	NA19038	0.0374	unrelated
NA19028	NA19041	0.0483	unrelated
NA19028	NA19044	0.0385	unrelated
NA19028	NA19046	0.0422	unrelated
NA19028	NA19307	0.0514	unrelated
NA19028	NA19308	0.0447	unrelated
NA19028	NA19309	0.0489	unrelated
NA19028	NA19310	0.0396	unrelated
NA19028	NA19311	0.0389	unrelated
NA19028	NA19312	0.0441	unrelated
NA19028	NA19313	0.0517	unrelated
NA19028	NA19315	0.0383	unrelated
NA19028	NA19316	0.0395	unrelated
NA19028	NA19317	0.038	unrelated
NA19028	NA19318	0.043	unrelated
NA19028	NA19319	0.0394	unrelated
NA19028	NA19321	0.0451	unrelated
NA19028	NA19324	0.0407	unrelated
NA19028	NA19327	0.0361	unrelated
NA19028	NA19328	0.0456	unrelated
NA19028	NA19331	0.0459	unrelated
NA19028	NA19332	0.0361	unrelated
NA19028	NA19334	0.0483	unrelated
NA19028	NA19338	0.039	unrelated
NA19028	NA19346	0.0449	unrelated
NA19028	NA19347	0.0367	unrelated
NA19028	NA19350	0.0383	unrelated
NA19028	NA19351	0.0488	unrelated
NA19028	NA19352	0.0396	unrelated
NA19028	NA19355	0.0426	unrelated
NA19028	NA19359	0.04	unrelated
NA19028	NA19360	0.0431	unrelated
NA19028	NA19371	0.0377	unrelated
